Date,50_day_MA,200_day_MA,OBV,Acc/Dist
2020-05-11,,,65184000,35936117.86107306
2020-05-12,,,3686000,-21814203.432110548
2020-05-13,,,99344000,-35033720.27243039
2020-05-14,,,172306000,28291816.685004085
2020-05-15,,,257006000,109208488.19305941
2020-05-18,,,344150000,172374255.86960685
2020-05-19,,,430560000,148762924.2174737
2020-05-20,,,510522000,218613634.00704795
2020-05-21,,,408234000,126688864.21028376
2020-05-22,,,350892000,88836302.17823723
2020-05-26,,,279528000,40694636.91098513
2020-05-27,,,178390000,134112359.30988973
2020-05-28,,,114586000,119991610.37818532
2020-05-29,,,184784000,190189610.37818533
2020-06-01,,,243362000,227704140.80506998
2020-06-02,,,293960000,274285861.97170603
2020-06-03,,,347380000,289477323.5289791
2020-06-04,,,288406000,252214780.2271554
2020-06-05,,,354534000,303838734.0243726
2020-06-08,,,433948000,361137694.5754909
2020-06-09,,,537468000,412463825.4071644
2020-06-10,,,636388000,357171834.69362503
2020-06-11,,,520386000,278472511.5471192
2020-06-12,,,411664000,246453057.69870985
2020-06-15,,,488966000,300727404.43503165
2020-06-16,,,560678000,357021565.6651692
2020-06-17,,,619864000,344611799.01079035
2020-06-18,,,669620000,370431641.50719124
2020-06-19,,,785160000,351160294.70584446
2020-06-22,,,849336000,412043471.07730925
2020-06-23,,,933970000,448033025.53229046
2020-06-24,,,843438000,389851038.4554675
2020-06-25,,,902812000,444781666.72076094
2020-06-26,,,772796000,328156324.1410464
2020-06-29,,,688328000,371048672.8978388
2020-06-30,,,763722000,429211690.4534703
2020-07-01,,,890990000,527054531.35739625
2020-07-02,,,1022858000,455141042.1050142
2020-07-06,,,1160470000,586734976.5350186
2020-07-07,,,1055320000,508338285.5207437
2020-07-08,,,1156072000,601034320.2615104
2020-07-09,,,1283846000,704826726.8415731
2020-07-10,,,1393566000,773038491.7828854
2020-07-13,,,1239158000,658488967.8416818
2020-07-14,,,1094520000,732381534.6412256
2020-07-15,,,978742000,682627624.5482612
2020-07-16,,,850858000,738346741.1839015
2020-07-17,,,755632000,677202726.7228776
2020-07-20,,,907596000,822541167.8078762
2020-07-21,134.14713973999022,,785170000,759249549.360681
2020-07-22,134.83804977416992,,703086000,744293421.0096532
2020-07-23,135.4676496887207,,589948000,660350604.9930942
2020-07-24,136.1086395263672,,702596000,737426409.2708259
2020-07-27,136.77499954223632,,786006000,734028420.1373656
2020-07-28,137.36554946899415,,723472000,678522083.2405952
2020-07-29,137.97281936645507,,782954000,722204223.8279115
2020-07-30,138.57536926269532,,905520000,731727227.3847829
2020-07-31,139.2421090698242,,1067230000,616190507.2120347
2020-08-03,139.90725906372072,,965736000,534716235.8802476
2020-08-04,140.609208984375,,1059622000,547811511.9343593
2020-08-05,141.39237884521484,,1137952000,610600449.8841746
2020-08-06,142.20698883056642,,1216764000,646240563.2201614
2020-08-07,142.97334884643556,,1138042000,609639063.9347976
2020-08-10,143.67913894653321,,1074696000,629528978.1296219
2020-08-11,144.28876876831055,,1000334000,568397195.1432773
2020-08-12,144.97859878540038,,1070776000,615381114.7277329
2020-08-13,145.66121871948243,,1007796000,564529466.7236717
2020-08-14,146.34863876342774,,952762000,562450562.7879345
2020-08-17,147.0480487060547,,1006586000,583127506.1595987
2020-08-18,147.83647857666017,,1113506000,675982401.5611142
2020-08-19,148.4960986328125,,1029804000,604800733.3320537
2020-08-20,149.14601867675782,,1096454000,644208501.5671313
2020-08-21,149.8727784729004,,1024936000,606899724.8358986
2020-08-24,150.63521850585937,,1118262000,589444658.6200184
2020-08-25,151.4090283203125,,1198118000,650025574.3926483
2020-08-26,152.23560821533204,,1328292000,756173496.2720532
2020-08-27,152.99462829589845,,1242996000,720918093.9283032
2020-08-28,153.7424481201172,,1300936000,700805236.0785272
2020-08-31,154.51839813232422,,1384654000,702591374.5062616
2020-09-01,155.3036981201172,,1453298000,728030456.6182141
2020-09-02,156.07073791503908,,1531928000,756766695.2195072
2020-09-03,156.7043377685547,,1368706000,707987509.0823535
2020-09-04,157.24437774658202,,1193070000,770746767.8560061
2020-09-08,157.70134796142577,,1071186000,688882477.9476473
2020-09-09,158.28957794189452,,1174960000,731944512.8913016
2020-09-10,158.70586791992187,,1068346000,630752086.4761174
2020-09-11,158.94338806152345,,966466000,578131393.1027529
2020-09-14,159.1560580444336,,875874000,501357481.1591999
2020-09-15,159.25514801025392,,956304000,535816977.68962276
2020-09-16,159.33312805175783,,866060000,451876880.5211836
2020-09-17,159.26074798583986,,737078000,486979051.1366871
2020-09-18,159.03302795410156,,559226000,441904388.6479356
2020-09-21,158.79349792480468,,681584000,560147528.5290178
2020-09-22,158.8184878540039,,820560000,688735904.4297302
2020-09-23,158.73434783935548,,707506000,588245083.1349893
2020-09-24,158.74526794433595,,818094000,593843566.2552164
2020-09-25,158.840498046875,,910398000,674607471.5774903
2020-09-28,159.052578125,,994882000,756200905.8804414
2020-09-29,159.0006182861328,,924966000,717252995.7464201
2020-09-30,159.01105804443358,,1022888000,655922906.9906031
2020-10-01,159.13240814208984,,1122326000,744882138.9191447
2020-10-02,159.2708581542969,,1010064000,638788758.1913339
2020-10-05,159.46114837646485,,1085570000,706142427.9008528
2020-10-06,159.5058984375,,983832000,626432935.9647804
2020-10-07,159.70125854492187,,1070020000,701632300.533444
2020-10-08,159.85827850341798,,1006538000,672036299.486532
2020-10-09,160.09304870605467,,1104696000,765155500.465398
2020-10-12,160.371298828125,,1271980000,818610975.2415168
2020-10-13,160.70303894042968,,1386874000,769154192.504341
2020-10-14,160.92791900634765,,1270620000,697044706.2687683
2020-10-15,161.06153900146484,,1166152000,754069266.8131611
2020-10-16,161.10924896240235,,1036664000,746375352.9387816
