Date,50_day_MA,200_day_MA,OBV,Acc/Dist
2020-05-11,,,17920700,7487932.349390901
2020-05-12,,,93900,-9051282.818949863
2020-05-13,,,-22335800,-21571664.150154557
2020-05-14,,,-2309900,-3977854.7872972637
2020-05-15,,,14899600,6880885.523022754
2020-05-18,,,38456200,28682267.423128672
2020-05-19,,,59894300,23203616.290303588
2020-05-20,,,21570200,29881393.365323715
2020-05-21,,,-8280500,31122748.53865439
2020-05-22,,,-60259800,-8325188.9264693
2020-05-26,,,-31576600,-29887034.392901298
2020-05-27,,,-55182000,-19975877.645172387
2020-05-28,,,-73945200,-23965444.514004625
2020-05-29,,,-30765700,15429050.624477662
2020-06-01,,,-46935400,25349204.373886734
2020-06-02,,,-24449600,46376434.41675563
2020-06-03,,,-4450100,63617378.66080266
2020-06-04,,,-19412500,62641483.64811462
2020-06-05,,,-7429300,61436904.207926676
2020-06-08,,,-20160500,67137086.38190122
2020-06-09,,,-6020400,81277186.38190122
2020-06-10,,,7352000,86626090.73274288
2020-06-11,,,-8208300,79247771.94126774
2020-06-12,,,4508200,83546934.463803
2020-06-15,,,-12911700,96129904.65421544
2020-06-16,,,4300700,97219254.97613148
2020-06-17,,,16787400,102213934.97613148
2020-06-18,,,6428600,95985298.42275272
2020-06-19,,,-13116600,79794205.60080674
2020-06-22,,,187000,86332411.88385063
2020-06-23,,,18450400,95135375.7729479
2020-06-24,,,6290900,90036933.49880747
2020-06-25,,,-8662200,85183095.16816373
2020-06-26,,,-28002800,75601144.17573217
2020-06-29,,,-40335800,80133795.51185642
2020-06-30,,,-27402000,87733337.51886514
2020-07-01,,,-15613900,91706032.55848746
2020-07-02,,,2514800,99428611.6092149
2020-07-06,,,36217700,128907680.67008084
2020-07-07,,,19726100,114840312.43139434
2020-07-08,,,59648800,150293444.92558134
2020-07-09,,,96452700,148010230.9861874
2020-07-10,,,76117700,162497778.71622214
2020-07-13,,,54549000,143779962.00327662
2020-07-14,,,34766400,158129323.9351243
2020-07-15,,,47381100,156817100.59457976
2020-07-16,,,29349000,153511875.26922396
2020-07-17,,,48091400,163670864.6818264
2020-07-20,,,67106400,161928999.6516875
2020-07-21,223.1125994873047,,84227100,153558871.0511947
2020-07-22,224.03859954833985,,64544900,146270237.979572
2020-07-23,225.06999969482422,,90256900,138846160.30094892
2020-07-24,226.06079956054688,,73035400,153889465.19944474
2020-07-27,227.05199951171875,,92002300,162056541.40480304
2020-07-28,227.9593997192383,,82123600,155470773.61361402
2020-07-29,228.70279968261718,,93617200,156839018.56531265
2020-07-30,229.41359985351562,,100650100,160156445.2375694
2020-07-31,230.0982000732422,,88346000,159258065.58217648
2020-08-03,231.01380004882813,,99876300,161390758.61865535
2020-08-04,232.2638003540039,,110870800,170268750.9810811
2020-08-05,233.52760040283204,,121544600,175551245.57743433
2020-08-06,234.81760040283203,,131904100,185846932.55159298
2020-08-07,235.86980041503907,,109374500,183348546.69209957
2020-08-10,236.68460052490235,,95752800,179515188.01726606
2020-08-11,237.52160034179687,,106434600,171329316.36324453
2020-08-12,238.3388003540039,,117546900,179768703.17015472
2020-08-13,239.04100036621094,,108752400,174586601.41371357
2020-08-14,239.75960052490234,,116628800,175597370.77203238
2020-08-17,240.50780029296874,,126388800,184246126.01790005
2020-08-18,241.31180053710938,,139656600,186523461.46885857
2020-08-19,242.10920043945313,,153753100,195572538.02419993
2020-08-20,242.79500061035156,,132292300,208722973.82447264
2020-08-21,243.80620025634767,,157940500,225203034.8730465
2020-08-24,244.97380004882814,,180416300,239696681.6008243
2020-08-25,246.3532000732422,,207951800,254095986.83874732
2020-08-26,247.74,,227482100,271202389.09806645
2020-08-27,248.9384002685547,,212676300,263917604.4092898
2020-08-28,250.24760040283203,,222357800,271966471.70140463
2020-08-31,251.575400390625,,209104000,274959279.27936643
2020-09-01,253.10720031738282,,222901100,288756379.27936643
2020-09-02,254.4536004638672,,210262500,293353493.98315346
2020-09-03,255.57920043945313,,193496300,288162138.15779763
2020-09-04,256.7638006591797,,177610500,299415009.94958526
2020-09-08,257.8500003051758,,164876500,298517730.23011523
2020-09-09,259.0126000976563,,174342200,298080177.67715836
2020-09-10,260.04959991455075,,163665400,287733574.13460684
2020-09-11,261.16279968261716,,173078200,288570559.2547965
2020-09-14,262.1727996826172,,180961500,288831585.12737715
2020-09-15,262.93199951171874,,189252900,292726577.12470865
2020-09-16,263.7645999145508,,198836400,283621873.82522315
2020-09-17,264.1254000854492,,190819500,290832408.0521749
2020-09-18,264.3420004272461,,179066000,285585364.16726977
2020-09-21,264.59820037841797,,188142400,293733247.23588353
2020-09-22,265.0706005859375,,197815700,300228411.3011822
2020-09-23,265.55800079345704,,190462500,296244011.4207458
2020-09-24,265.96840087890627,,180900400,298383056.14911807
2020-09-25,266.5402008056641,,192367000,307572148.28778994
2020-09-28,267.1176010131836,,201128700,305648418.29094625
2020-09-29,267.5600009155273,,208802000,305055487.0367414
2020-09-30,268.2816012573242,,233579700,325356134.30759615
2020-10-01,269.04860107421877,,217275700,317048596.3289917
2020-10-02,269.7744012451172,,205792900,312536544.35363346
2020-10-05,270.55980102539064,,223669300,318332320.1779665
2020-10-06,271.39040130615234,,239529700,319977505.3451218
2020-10-07,272.3394012451172,,256199000,321533960.4365824
2020-10-08,273.30120147705077,,271304800,328887616.17460823
2020-10-09,274.241201171875,,259862600,326843536.48041093
2020-10-12,275.3476010131836,,274642700,329948104.10552186
2020-10-13,276.3644009399414,,285541200,337005557.21870345
2020-10-14,277.1412008666992,,270383400,322642120.7775314
2020-10-15,277.8322006225586,,260673500,331272956.88224936
2020-10-16,278.6648007202148,,273011500,334195550.4739797
2020-10-19,279.72860076904294,,258904200,325188598.2525041
2020-10-20,280.9622006225586,,267710300,326600567.8275749
2020-10-21,282.15320068359375,,256570600,316415662.2539886
2020-10-22,283.17500061035156,,248562200,312746899.6547268
2020-10-23,284.2990008544922,,254793600,318163399.7730009
2020-10-26,285.35700073242185,,245443500,314411140.7666908
2020-10-27,286.56060119628904,,258619400,323396913.9304081
2020-10-28,287.53540100097655,,244974900,316811177.4802128
2020-10-29,288.5748010253906,,256149400,317866650.88364065
2020-10-30,289.5092010498047,,241230900,315567201.65934473
2020-11-02,290.4100012207031,,253088500,325072852.3277063
2020-11-03,290.60100158691404,,194956000,308192970.36291677
2020-11-04,290.79520141601563,,223747200,322619642.5325651
2020-11-05,290.71100158691405,,173682000,342602732.3517386
2020-11-06,291.0266015625,,198941600,363585661.3654143
2020-11-09,291.05720153808596,,176381700,341126023.50779355
2020-11-10,290.64740173339845,,115317700,297286358.6828264
2020-11-11,290.00040161132813,,73618700,290184072.7952128
2020-11-12,289.3652014160156,,46499600,271506380.54128873
2020-11-13,288.93200134277345,,12556800,267689254.4005682
2020-11-16,288.47040100097655,,-8307400,256466249.1079249
2020-11-17,288.2060009765625,,-28046900,239471066.63028276
2020-11-18,287.8596011352539,,-56354000,243402627.04401886
2020-11-19,287.70640167236326,,-35601200,256161469.907223
2020-11-20,287.68900177001956,,-1422800,279697854.16866565
2020-11-23,287.6092013549805,,-26739900,274478899.38373613
2020-11-24,287.64920135498045,,-6079400,291700422.9186184
2020-11-25,287.64080108642577,,-21308700,297642239.74317116
2020-11-27,287.65600128173827,,-30891900,292853695.4958815
2020-11-30,287.47500091552735,,-61368000,270315506.7963537
2020-12-01,287.27880096435547,,-46794900,273087941.7448833
2020-12-02,286.9994009399414,,-60714600,270434479.84157944
2020-12-03,286.878600769043,,-45194100,276347022.3538619
2020-12-04,286.8290005493164,,-29666500,266870007.7551712
2020-12-07,286.6872006225586,,-41055200,264943701.57739022
2020-12-08,286.4888003540039,,-31607500,264756006.5154456
2020-12-09,286.2262002563477,,-40668200,258332448.84924844
2020-12-10,285.64399993896484,,-30377900,263488098.82771757
2020-12-11,285.1338003540039,,-38149200,266960399.6999553
2020-12-14,284.49100006103515,,-56519100,248590499.6999553
2020-12-15,283.82780029296873,,-73114700,259588827.88952604
2020-12-16,283.2178002929688,,-57309900,268752618.95789254
2020-12-17,282.5764001464844,,-43003300,280474714.87509465
2020-12-18,281.7655999755859,,-58985100,268978980.13152343
2020-12-21,280.9794000244141,,-48083300,279771034.775476
2020-12-22,279.96920013427734,,-59551700,271590497.6022649
2020-12-23,278.91720001220705,,-48822500,277110863.9949913
2020-12-24,277.3363998413086,,-190652500,298913414.15816313
2020-12-28,275.7944000244141,,-117140400,332438498.9451318
2020-12-29,274.3733999633789,,-47424500,359554144.89526623
2020-12-30,273.03539978027345,,-2612200,353123077.232401
2020-12-31,271.49379974365235,,-26064000,339791246.0475017
2021-01-04,269.8913998413086,,-50961900,341096816.5303813
2021-01-05,268.57379974365233,,-15138100,374880016.7696449
2021-01-06,266.9275994873047,,-52284200,348184987.8697004
2021-01-07,265.3281994628906,,-101646000,367008525.93851966
2021-01-08,263.70919921875,,-66761100,387783719.76752967
2021-01-11,262.0977990722656,,-89798000,378759153.3473395
2021-01-12,260.35859924316406,,-108767900,363575058.2089678
2021-01-13,258.9707992553711,,-69962800,374014187.700958
