Date,50_day_MA,200_day_MA,OBV,Acc/Dist
2020-05-11,,,9235700,-1139755.3029024089
2020-05-12,,,2764800,-7263217.759251168
2020-05-13,,,-7494100,-10208165.842274431
2020-05-14,,,-480500,-4706675.979918488
2020-05-15,,,-6418000,-6593380.775742998
2020-05-18,,,1040900,-3747186.09691391
2020-05-19,,,-4533900,-8660901.952793673
2020-05-20,,,921700,-6800035.876369668
2020-05-21,,,-3138200,-9109326.365492495
2020-05-22,,,-6723000,-6237746.142920534
2020-05-26,,,384600,-5505742.322659361
2020-05-27,,,7795100,477099.9653267516
2020-05-28,,,1482000,-1401769.833175526
2020-05-29,,,12112200,7382508.005008035
2020-06-01,,,6393400,4613849.904239647
2020-06-02,,,12196400,8048275.525335416
2020-06-03,,,18903100,11938554.75414531
2020-06-04,,,24712900,17460277.002359338
2020-06-05,,,35103300,24577795.016112506
2020-06-08,,,41798400,24986241.342472136
2020-06-09,,,34086600,18525035.737943973
2020-06-10,,,26749200,11601008.48213059
2020-06-11,,,11376800,-3463903.902580781
2020-06-12,,,20853600,-3169783.506589105
2020-06-15,,,28958800,4311936.243935082
2020-06-16,,,38366400,1807766.2420688984
2020-06-17,,,31917900,-1458901.072930424
2020-06-18,,,26997000,789428.8920797044
2020-06-19,,,18229100,-5421898.375662908
2020-06-22,,,24046000,-6077045.970457227
2020-06-23,,,30424100,-8544960.89182484
2020-06-24,,,22342900,-14800253.708700173
2020-06-25,,,28722900,-11453348.404817106
2020-06-26,,,13950800,-20853836.094287023
2020-06-29,,,19169000,-15801286.550032483
2020-06-30,,,25932800,-12199111.96263355
2020-07-01,,,21313000,-14887779.03260318
2020-07-02,,,26476100,-17794424.562055502
2020-07-06,,,32919400,-16692718.833312964
2020-07-07,,,27967300,-18762707.26811593
2020-07-08,,,33515100,-18063787.318097606
2020-07-09,,,28094500,-20767496.537597667
2020-07-10,,,33576800,-15420312.581851196
2020-07-13,,,41462400,-18153542.384399585
2020-07-14,,,56145800,-4888623.769881034
2020-07-15,,,63704000,-6083887.100907808
2020-07-16,,,68475300,-3744501.270082393
2020-07-17,,,63288500,-7108097.948277965
2020-07-20,,,59199100,-6523897.948277965
2020-07-21,182.33620056152344,,64455400,-5334738.470078001
2020-07-22,182.68540069580078,,60272700,-1879461.109942283
2020-07-23,183.0942007446289,,66309500,3272368.5288005867
2020-07-24,183.57320068359374,,71450300,2810820.7092041182
2020-07-27,183.9974008178711,,67141200,-61932.369357982185
2020-07-28,184.49480072021484,,71553500,3571026.960683157
2020-07-29,184.91380065917969,,75620800,6918956.362373041
2020-07-30,185.35000061035157,,70801200,10616738.704326686
2020-07-31,185.7452005004883,,76737700,15574932.979705155
2020-08-03,186.23160034179688,,82988700,18032590.05418642
2020-08-04,186.73780059814453,,86827500,21627130.13283865
2020-08-05,187.20340057373048,,92012000,23804882.543643024
2020-08-06,187.58840057373047,,95392700,26255588.969345834
2020-08-07,188.07600036621093,,101578700,31860633.689539447
2020-08-10,188.61600036621093,,108212500,37212919.50278424
2020-08-11,189.19240051269531,,113900700,32946763.04482083
2020-08-12,189.73840057373047,,118692600,32439960.254959114
2020-08-13,190.16160034179688,,114157000,29642513.07326968
2020-08-14,190.53980041503905,,110715500,29042276.296065584
2020-08-17,190.66220031738283,,105231100,24635172.48887081
2020-08-18,190.79760040283202,,108731200,24753426.669069383
2020-08-19,191.020400390625,,102902200,20730604.152273983
2020-08-20,191.31260040283203,,98768400,22434895.45609805
2020-08-21,191.90080017089844,,103553700,23996748.53621228
2020-08-24,192.52880004882812,,108593200,27452071.867911983
2020-08-25,193.16480010986328,,112269100,26972623.615384318
2020-08-26,193.81200012207032,,116908100,28536482.888668027
2020-08-27,194.53220001220703,,121722300,30031575.489579763
2020-08-28,195.2886001586914,,126012700,33597637.97725632
2020-08-31,196.055,,119880800,30122885.980477616
2020-09-01,196.82260009765625,,124015100,34089323.90900146
2020-09-02,197.63600006103516,,129509000,38445585.5353761
2020-09-03,198.4483999633789,,122424300,34939643.160387024
2020-09-04,199.23779998779298,,128465700,35033766.093497895
2020-09-08,200.08640014648438,,121464500,36979564.37976025
2020-09-09,200.9352001953125,,126881500,35441848.93732789
2020-09-10,201.72100036621094,,123044200,33017739.302242175
2020-09-11,202.51980010986327,,126481300,32535058.964601763
2020-09-14,203.34200012207032,,130550100,32885345.10792302
2020-09-15,204.06640014648437,,126694300,30240671.32409826
2020-09-16,204.8352001953125,,132352700,26056754.264529184
2020-09-17,205.57220031738282,,125411900,28985951.811915584
2020-09-18,206.360400390625,,137274100,19958785.964810923
2020-09-21,206.96280059814453,,128932700,22267585.600598227
2020-09-22,207.56340057373046,,134222100,25510609.530357838
2020-09-23,207.96140045166015,,129800900,21459175.75239264
2020-09-24,208.32460052490234,,125838900,22143034.250925284
2020-09-25,208.71340057373047,,129401300,24609303.376549065
2020-09-28,209.1690005493164,,134444100,24009985.91472924
2020-09-29,209.56820068359374,,130407200,20455097.787466038
2020-09-30,209.98160064697265,,136229000,23277209.247087102
2020-10-01,210.38000061035157,,131470500,22052892.809706755
2020-10-02,210.7386004638672,,127050500,21147583.77281352
2020-10-05,211.095400390625,,130699000,18721820.734732345
2020-10-06,211.45780029296876,,125385400,15100804.386720568
2020-10-07,211.84120025634766,,129143900,15725315.15546907
2020-10-08,212.21600006103515,,132755000,17603059.727409173
2020-10-09,212.64359985351564,,135845700,18923489.23862408
2020-10-12,213.05619995117186,,139747700,19379600.634507507
2020-10-13,213.31720001220702,,134899000,15217240.12616047
2020-10-14,213.53059997558594,,129872700,12245934.582454044
2020-10-15,213.69119995117188,,132935900,14756602.83570918
2020-10-16,213.82899993896484,,136566300,11485669.558777854
2020-10-19,213.81920013427734,,133155400,9382844.005185196
2020-10-20,213.76880004882813,,137043900,7972294.578513643
2020-10-21,213.71919982910157,,140235900,8398638.941859554
2020-10-22,213.6865997314453,,143185800,10955223.648980912
2020-10-23,213.70119995117187,,146016600,10717148.7810693
2020-10-26,213.6517999267578,,141302500,10312279.90437082
2020-10-27,213.65380004882812,,138264700,8233798.007777557
2020-10-28,213.50119995117188,,130731100,4052561.895661217
2020-10-29,213.38719970703124,,135955500,6335047.213176794
2020-10-30,213.30279968261718,,141709500,10896310.33057947
2020-11-02,213.24039978027344,,147647000,9716429.955760425
2020-11-03,213.12079986572266,,153116900,5105190.026554058
2020-11-04,212.97719970703125,,147142500,2223683.845744347
2020-11-05,212.83299957275392,,153076300,-2245746.439622511
2020-11-06,212.67259979248047,,157381900,-2487599.797415643
2020-11-09,212.7315997314453,,168722700,-2864563.895731259
2020-11-10,212.94039978027342,,175780000,3953496.5531597426
2020-11-11,213.11679962158203,,170993900,4348920.780763848
2020-11-12,213.17759979248046,,165884100,5068083.80718969
2020-11-13,213.3629998779297,,170673600,7412609.128237745
2020-11-16,213.65859985351562,,176440200,12025889.128237745
2020-11-17,213.96579986572266,,181478600,13387079.710870435
2020-11-18,214.17459991455078,,176738000,8794639.10269812
2020-11-19,214.40919982910157,,172116200,11685717.398912651
2020-11-20,214.59079986572266,,168088900,8313680.904506684
2020-11-23,214.7827996826172,,171719000,9110520.041953264
2020-11-24,215.08239959716798,,176431500,11133734.967083473
2020-11-25,215.35319976806642,,173181900,11541999.963211277
2020-11-27,215.6231997680664,,171246100,10751033.896778142
2020-11-30,215.83719970703126,,165257100,7602995.3291503005
2020-12-01,216.17039947509767,,169699500,4304837.814483942
2020-12-02,216.49559936523437,,174378600,8286184.430109486
2020-12-03,216.92379943847655,,179073100,11267121.114955157
2020-12-04,217.37639953613282,,183822700,12907919.176619388
2020-12-07,217.75219970703125,,179173400,11613187.919165008
2020-12-08,218.04519989013673,,174586200,13831403.679380493
2020-12-09,218.3865997314453,,169712400,12709986.43015525
2020-12-10,218.6747998046875,,165145000,15057761.665276144
2020-12-11,218.96219970703126,,161116900,17799903.054764003
2020-12-14,219.19559997558594,,154575300,12383012.405729724
2020-12-15,219.43600006103514,,159743300,12663724.234441552
2020-12-16,219.66900024414062,,152205900,5497002.12872199
2020-12-17,219.89680023193358,,159593900,11385299.979741823
2020-12-18,220.06240020751954,,138930600,11267869.928200124
2020-12-21,220.21860046386718,,146303100,15079548.393603183
2020-12-22,220.32800048828125,,140145800,9664899.49737033
2020-12-23,220.56660064697266,,145129700,11745147.807295827
2020-12-24,220.8790005493164,,147516700,13151178.30921624
2020-12-28,221.2142007446289,,151022200,12284240.714532219
2020-12-29,221.5674008178711,,154821700,10270510.352593742
2020-12-30,221.9806005859375,,158079100,9472314.204694107
2020-12-31,222.41680053710937,,162307200,12677678.631904269
2021-01-04,222.7822006225586,,154902300,9993016.932764478
2021-01-05,223.09940063476563,,149377400,6576062.177656305
2021-01-06,223.4506005859375,,158386800,7120513.469302027
2021-01-07,223.93840057373046,,163078400,7958936.903973644
2021-01-08,224.48140045166016,,167928800,10889365.488723356
2021-01-11,225.13600036621094,,164046800,13459499.745303065
2021-01-12,225.76640045166016,,158430200,14395612.274917178
2021-01-13,226.4186004638672,,162257700,17183535.472114075
2021-01-14,227.03280059814452,,166786400,18400964.69760773
2021-01-15,227.57000061035157,,161561400,19336809.56995736
2021-01-19,228.13760070800782,,167063500,20742634.269655548
2021-01-20,228.6838006591797,,171939700,23429498.291453913
2021-01-21,229.19000061035158,,167622400,19438040.46194968
2021-01-22,229.41840057373048,,163157400,18886770.587787975
2021-01-25,229.5090005493164,,168255100,22290743.825824514
2021-01-26,229.59300079345704,,164310300,19218547.022438046
2021-01-27,229.64580078125,,156083200,16307404.473825032
2021-01-28,229.71640075683592,,162026700,16562915.11791816
2021-01-29,229.6118005371094,,155639400,13230363.174906533
2021-02-01,229.53500061035157,,159707600,13395772.034904424
2021-02-02,229.57840057373048,,165007900,14125563.616569515
2021-02-03,229.64140045166016,,168813500,15987839.079201812
2021-02-04,229.81660064697266,,173251900,20071168.627192885
2021-02-05,229.9290008544922,,169439700,17429235.18692944
2021-02-08,229.99900085449218,,172767000,20334977.023790948
2021-02-09,230.1346008300781,,177540400,23486174.42502596
2021-02-10,230.30200073242187,,181363000,22376390.36300664
2021-02-11,230.51900054931642,,178454500,22749241.423298515
2021-02-12,230.77460083007813,,181876300,25737003.724700198
2021-02-16,231.07180084228514,,186598500,26247508.762520798
2021-02-17,231.35640075683594,,182689000,26800903.330676645
2021-02-18,231.59940063476563,,178658000,26632062.093678545
2021-02-19,231.85160064697266,,174405600,23540498.575397734
2021-02-22,232.1872006225586,,178414700,25986210.6593153
2021-02-23,232.54760070800782,,183869600,27981892.164625615
2021-02-24,232.96960052490235,210.9905503845215,188975500,30534833.311251868
2021-02-25,233.3156005859375,211.33580039978028,182520300,25365612.839289624
2021-02-26,233.6688003540039,211.67430038452147,174435000,18138327.616666727
2021-03-01,234.165400390625,212.06750038146973,180767300,20665584.550681118
2021-03-02,234.71160034179687,212.45895042419434,185451800,18662466.338784404
2021-03-03,235.2490005493164,212.87045043945312,191540100,17559531.123627353
2021-03-04,235.69000061035158,213.2205503845215,183713100,13511659.055047993
2021-03-05,236.28320037841797,213.62385032653808,190110100,19281495.31215381
2021-03-08,236.99779998779297,214.0318002319336,197234400,20662470.75471634
2021-03-09,237.69339965820313,214.45220016479493,205493700,20087784.720355973
2021-03-10,238.44259948730468,214.8975001525879,214433000,21043092.665812496
2021-03-11,239.09259948730468,215.30035018920898,208515400,16449503.250875518
2021-03-12,239.70159912109375,215.67160011291503,204020000,12585945.186359389
2021-03-15,240.2007992553711,216.0191500854492,197046600,7809360.930258627
2021-03-16,240.59339935302734,216.34875007629395,196979400,7790099.6617358485
2021-03-17,241.0643994140625,216.6895500946045,197047100,7772520.034354294
2021-03-18,241.5641995239258,217.0221501159668,202594400,5037943.922986481
2021-03-19,241.97859954833984,217.32300010681152,185959000,9050535.086681258
2021-03-22,242.32819946289064,217.61455009460448,180588600,9413663.199802741
2021-03-23,242.61379943847658,217.85280006408692,175966200,6394387.205553466
2021-03-24,242.9377996826172,218.09315010070802,180131200,5006066.370325912
2021-03-25,243.29219970703124,218.3665500640869,185631200,8695944.718644388
2021-03-26,243.73739959716798,218.69285003662108,191430300,13048131.746260555
2021-03-29,244.21339965820312,219.09685005187987,198072900,17269906.048141122
2021-03-30,244.70739959716798,219.4817500305176,194194900,15351553.798287217
2021-03-31,245.12579956054688,219.8513500213623,187616800,10345927.418762002
2021-04-01,245.59459991455077,220.23085006713868,193190200,15099296.072952766
2021-04-05,246.1645999145508,220.63985008239746,198239800,18068758.771430533
2021-04-06,246.76739990234375,221.05150009155273,201300400,19905118.771430533
2021-04-07,247.3795999145508,221.47100006103517,204883100,20828493.898062594
2021-04-08,248.0183999633789,221.88770011901855,201769800,22647199.932115562
2021-04-09,248.79140014648436,222.3127001953125,207822300,27736402.74840718
2021-04-12,249.53100006103514,222.76470016479493,212115200,30084433.029978584
2021-04-13,250.3156002807617,223.20595016479493,208558600,30001742.534321968
2021-04-14,251.07980010986327,223.66675018310548,211678500,28719934.597438525
2021-04-15,251.81780029296874,224.12650024414063,215597700,32259460.674799427
2021-04-16,252.60640014648436,224.59450019836424,220308000,34136956.289255716
2021-04-19,253.2966000366211,225.05595016479492,216072500,32877732.9864649
2021-04-20,253.95120025634765,225.50125022888184,212331700,32385982.06729361
2021-04-21,254.64700012207032,225.94870018005372,216228800,35869376.43351817
2021-04-22,255.2390002441406,226.3905002593994,212496700,33788478.90637592
2021-04-23,255.8802005004883,226.84440032958983,216180800,35801220.79826781
2021-04-26,256.5022003173828,227.30470024108888,212611700,32722163.661266908
2021-04-27,257.12600006103514,227.75845024108887,215785100,35107992.49766807
2021-04-28,257.67940032958984,228.20255027770997,212609100,34778290.17131103
2021-04-29,258.32640045166016,228.64200027465822,217149400,38817039.3152226
2021-04-30,258.9554006958008,229.0639503479004,211937000,36015432.72345087
2021-05-03,259.7020004272461,229.50480033874513,217121000,35369272.70434411
2021-05-04,260.40780059814455,229.95230041503908,221586500,38635131.674031414
2021-05-05,261.15240081787107,230.4137004852295,225934600,36912365.732878655
2021-05-06,261.9776007080078,230.90090042114258,231897500,42293992.31953301
2021-05-07,262.92240051269533,231.3950503540039,237996700,47875633.16477276
2021-05-10,263.9588003540039,231.89045028686525,242534500,44121714.86930784
2021-05-11,264.6872003173828,232.346000289917,235721000,40243926.527314775
2021-05-12,265.36100036621093,232.7998503112793,230412200,36005853.880240865
2021-05-13,266.0680001831055,233.2637503051758,235656300,38456892.74102625
2021-05-14,266.9720001220703,233.73510025024413,239916900,40516399.44703182
2021-05-17,267.6934002685547,234.20970024108885,236033600,40354584.99310712
2021-05-18,268.2930004882812,234.66875022888183,231677300,36991593.104600385
2021-05-19,268.83700073242187,235.10355026245117,226406000,41364533.66477905
2021-05-20,269.29180114746094,235.53600028991698,230547600,39344894.62890229
2021-05-21,269.8284008789062,235.95660026550294,234778300,38335996.05383509
2021-05-24,270.4226013183594,236.38015029907226,238751600,40147844.134889774
2021-05-25,271.074401550293,236.76875038146972,233999300,35586115.47024854
2021-05-26,271.79100128173826,237.1425003051758,238755600,34693497.64773623
2021-05-27,272.53700103759763,237.52570022583006,245357700,38631569.64637989
2021-05-28,273.27660095214844,237.9067002105713,249880200,39016903.08463257
2021-06-01,274.053600769043,238.29600021362305,253216000,37788992.431595795
2021-06-02,274.8468005371094,238.69130012512207,256733100,37621474.97110533
2021-06-03,275.7200006103516,239.1172501373291,260832500,39584930.92785468
2021-06-04,276.57780029296873,239.5382000732422,264103600,40608378.384371124
2021-06-07,277.3520001220703,239.94944999694823,259662600,37639787.745295465
2021-06-08,278.000400390625,240.36480003356934,254626700,40973087.004151054
2021-06-09,278.5955999755859,240.77055000305177,251124900,42723960.811502166
2021-06-10,279.13,241.13205001831054,247085700,38987879.779182434
2021-06-11,279.75700012207034,241.49940002441406,250609900,40885589.57221033
2021-06-14,280.26359985351564,241.84375,244509400,39386224.75376929
2021-06-15,280.68919982910154,242.1791000366211,248268100,39825585.56968601
2021-06-16,281.09019958496094,242.50189994812013,242641300,40339857.28104888
2021-06-17,281.3915997314453,242.8051499938965,235507100,35528907.42484203
2021-06-18,281.6021997070313,243.0826000213623,222941300,31748104.30828159
2021-06-21,281.8239996337891,243.35970008850097,228424000,31619876.04572437
2021-06-22,282.0038000488281,243.65355018615722,223199300,32207046.798548963
2021-06-23,282.155,243.93525016784668,218666200,28081057.371280085
2021-06-24,282.31419982910154,244.22370010375977,224120100,28835562.987482153
2021-06-25,282.4989996337891,244.51745010375976,229697200,31793130.995589364
2021-06-28,282.58899963378906,244.8115000152588,225672600,30118110.487020608
2021-06-29,282.70759948730466,245.10290000915526,221202100,28791657.761129957
2021-06-30,282.90819946289065,245.3928000640869,225676200,31592028.35995536
2021-07-01,283.06739990234377,245.69895011901855,229323400,34894470.17458604
2021-07-02,283.259599609375,245.99660011291505,225640600,32638076.974427007
2021-07-06,283.3663995361328,246.29295013427733,221239100,34382085.0740796
2021-07-07,283.53399963378905,246.5981000518799,225651700,37773751.19891094
2021-07-08,283.5429998779297,246.90350006103515,220281200,34607748.10383308
2021-07-09,283.69379943847656,247.23514999389647,225177200,38760749.55252332
2021-07-12,283.7439990234375,247.58764991760253,220894700,38468001.433791
2021-07-13,283.8291986083984,247.9400998687744,217758400,37932531.02515683
2021-07-14,283.8117987060547,248.27939987182617,213650400,35308370.293556556
2021-07-15,283.8009985351562,248.61029991149903,216925100,36885744.97957098
2021-07-16,283.70379821777345,248.9475998687744,213489000,34709228.92284599
2021-07-19,283.36279846191405,249.24619987487793,208257100,33711103.32001047
2021-07-20,283.0819989013672,249.57054992675782,212994100,36947944.67055831
2021-07-21,282.83299926757815,249.91404998779296,216430000,38211591.735220164
2021-07-22,282.6743994140625,250.24075004577637,213864300,36422542.92294699
2021-07-23,282.5859991455078,250.58190002441407,217081800,35418895.516213596
2021-07-26,282.4239990234375,250.90944999694824,219505600,34996915.8802004
