Date,50_day_MA,200_day_MA,OBV,Acc/Dist
2020-05-11,,,46906000,33694993.45072499
2020-05-12,,,-2400000,-13079069.858673781
2020-05-13,,,-64985200,-27730790.281156793
2020-05-14,,,-4754000,30599271.239117473
2020-05-15,,,94012000,126291274.71709879
2020-05-18,,,171458000,94623864.94759697
2020-05-19,,,243190000,41777345.97452951
2020-05-20,,,301943600,44919624.23686141
2020-05-21,,,225836800,-12945595.515268162
2020-05-22,,,329713200,54413182.59565589
2020-05-26,,,252635200,-8829426.056136623
2020-05-27,,,135046000,69008824.56801017
2020-05-28,,,61556400,37058896.25089951
2020-05-29,,,136082000,111584496.25089951
2020-06-01,,,97094400,132786008.47151318
2020-06-02,,,136226400,166678778.21434772
2020-06-03,,,99682400,160688874.0442201
2020-06-04,,,57254400,146679219.67644757
2020-06-05,,,105429200,169182871.1233929
2020-06-08,,,66655600,175740336.39133787
2020-06-09,,,113504400,205927340.84085202
2020-06-10,,,176722400,220523198.38129997
2020-06-11,,,118357200,164675613.68342546
2020-06-12,,,175448000,161667670.75386184
2020-06-15,,,215448400,200117331.54192483
2020-06-16,,,161876800,204060030.32781902
2020-06-17,,,202707200,222400325.8342277
2020-06-18,,,177266400,228306331.05309594
2020-06-19,,,229682400,192259254.5278287
2020-06-22,,,269529200,230716107.42256087
2020-06-23,,,232018400,206773105.7785118
2020-06-24,,,187081200,181686871.45996255
2020-06-25,,,224688400,215798402.50018382
2020-06-26,,,165480000,166063442.86802238
2020-06-29,,,199704800,199276712.97731447
2020-06-30,,,236494000,227992925.82761362
2020-07-01,,,269158800,242293346.19138634
2020-07-02,,,305564400,221432839.02238494
2020-07-06,,,337153600,230648059.61881846
2020-07-07,,,372933600,201722131.8241251
2020-07-08,,,409481600,235735114.783682
2020-07-09,,,458936400,267259764.8066949
2020-07-10,,,409168800,253670603.9001074
2020-07-13,,,363461200,211209736.55898476
2020-07-14,,,417728800,260949541.87960508
2020-07-15,,,377330400,257281758.1131809
2020-07-16,,,342834000,275818496.4572873
2020-07-17,,,369462400,286875643.2550737
2020-07-20,,,397947600,312242277.7676179
2020-07-21,92.30760055541992,,370244000,293004444.4646253
2020-07-22,92.78225051879883,,406973200,291055688.62580913
2020-07-23,93.24770050048828,,365807200,265613789.65479714
2020-07-24,93.73060043334961,,413136400,285523882.67327124
2020-07-27,94.20880035400391,,442349600,309455061.65434086
2020-07-28,94.55375030517578,,415186000,284256988.8326367
2020-07-29,94.8968002319336,,443636800,295645696.3673804
2020-07-30,95.25850021362305,,474524800,324837257.51070577
2020-07-31,95.58745025634765,,513132800,328310188.9788213
2020-08-03,96.03445022583008,,554404800,350533560.9623808
2020-08-04,96.47475021362305,,585438400,381567160.9623808
2020-08-05,96.98855026245117,,610430800,385884623.0452238
2020-08-06,97.55060028076171,,634862400,404182820.05986965
2020-08-07,98.09310028076172,,600610800,393681965.41104215
2020-08-10,98.55100036621094,,557831200,398741120.4728586
2020-08-11,98.95975036621094,,522380000,374569905.43066204
2020-08-12,99.48275024414062,,568821200,416127330.56664145
2020-08-13,100.01745025634766,,606267200,396534652.42112833
2020-08-14,100.57695022583007,,642910800,394142584.68774265
2020-08-17,101.26035034179688,,705040800,441015332.83930546
2020-08-18,101.95150024414062,,654696000,433551077.1885207
2020-08-19,102.57000030517578,,592433600,394529430.43611413
2020-08-20,103.1248503112793,,684572400,399774774.201075
2020-08-21,103.90230026245118,,784559200,458935800.6392203
2020-08-24,104.6598503112793,,833615600,461418922.6755324
2020-08-25,105.37510025024415,,862523200,486857516.57527196
2020-08-26,106.11600036621094,,894647600,486815629.7086213
2020-08-27,106.79445037841796,,862887200,468890900.2736811
2020-08-28,107.58040023803711,,916603200,522553716.75742316
2020-08-31,108.4030500793457,,966687200,535255228.0896886
2020-09-01,109.26190017700195,,1017818800,554684869.2628572
2020-09-02,110.24120010375977,,1105220000,561688495.7514079
2020-09-03,110.99720001220703,,1010707200,492877037.9368408
2020-09-04,111.62369995117187,,864338800,529238885.7298298
2020-09-08,112.17529983520508,,784766000,488946676.981935
2020-09-09,112.87829986572265,,858386000,538536675.43624
2020-09-10,113.44109985351562,,788517600,491186433.82666457
2020-09-11,113.9679997253418,,724824800,472732957.1309086
2020-09-14,114.6199998474121,,844999200,437274024.0772735
2020-09-15,115.2503498840332,,917754800,414953192.89755374
2020-09-16,115.7788998413086,,862116400,359458927.75237143
2020-09-17,116.22839981079102,,782865200,402654459.04267496
2020-09-18,116.5644499206543,,713019200,376316519.9498352
2020-09-21,116.97204986572265,,785123600,447195895.1014663
2020-09-22,117.48914993286132,,849768800,509150257.3030681
2020-09-23,117.83850006103516,,785067600,453338920.3976079
2020-09-24,118.26265014648438,,858191600,468148110.9236996
2020-09-25,118.81045013427735,,916993200,525151714.1273823
2020-09-28,119.37715026855469,,974374000,576162318.2628024
2020-09-29,119.92015045166016,,1036520000,585371449.2158251
2020-09-30,120.56055023193359,,1105438400,627437205.806906
2020-10-01,121.19570037841797,,1157938800,628393475.5030948
2020-10-02,121.78220031738282,,1102689200,575797336.1661419
2020-10-05,122.47180038452149,,1150671200,623380868.5280801
2020-10-06,123.13480056762695,,1229113200,568455384.0123783
2020-10-07,123.88450057983398,,1270921600,559505225.0089835
2020-10-08,124.5591505432129,,1233031600,540357029.4253873
2020-10-09,125.18890060424805,,1198342400,548950093.7514318
2020-10-12,125.91115051269531,,1241816800,568210776.3279716
2020-10-13,126.55875045776367,,1276277200,581717951.9231683
2020-10-14,127.13225051879883,,1248667200,573620608.0093431
2020-10-15,127.66890045166015,,1221944800,592315066.2289296
2020-10-16,128.16410049438477,,1197705600,570875572.354256
2020-10-19,128.62375030517578,,1167898800,550474523.1054883
2020-10-20,129.1198503112793,,1190820000,549241344.9593787
2020-10-21,129.65480026245118,,1168860400,533890657.9755171
2020-10-22,130.0389503479004,,1139812400,524602940.34433126
2020-10-23,130.4684002685547,,1163160800,547487482.0353346
2020-10-26,130.78385040283203,,1129471200,524379890.91841877
2020-10-27,130.99580032348632,,1154523200,540381198.2133849
2020-10-28,131.06905029296874,,1116871200,504811336.8689258
2020-10-29,131.24615036010744,,1148879200,512420270.58503515
2020-10-30,131.32475021362305,,1107197200,501385762.5505045
2020-11-02,131.30420028686524,,1137162400,496620601.7498275
2020-11-03,131.36405044555664,,1164452400,514619291.75909364
2020-11-04,131.57290054321288,,1205475200,550080569.3515329
2020-11-05,131.85030059814454,,1237378000,549163905.0303965
2020-11-06,132.23705047607422,,1275712800,584542415.5332822
2020-11-09,132.3336505126953,,1217415200,528402455.5716851
2020-11-10,132.2127505493164,,1153008400,482660895.01602036
2020-11-11,132.13215026855468,,1193482800,520307896.85992485
2020-11-12,131.95420043945313,,1230064000,506610289.5953849
2020-11-13,132.01050048828125,,1195432800,498996561.6408884
2020-11-16,132.18905044555663,,1236810400,517861738.1469796
2020-11-17,132.49090057373047,,1205607600,511941260.2887487
2020-11-18,132.6336506652832,,1256700000,520046982.7771618
2020-11-19,132.8593505859375,,1313293600,562838939.8084118
2020-11-20,133.0440007019043,,1279184800,532343652.8218623
2020-11-23,133.0975505065918,,1315320400,520725038.1093887
2020-11-24,133.09090042114258,,1280670400,504275574.0971376
2020-11-25,133.23495056152345,,1306662000,523026982.8169336
2020-11-27,133.394500579834,,1323389600,519109803.6564906
2020-11-30,133.63695053100585,,1352084800,546371049.2488545
2020-12-01,133.81150039672852,,1322390000,548643665.8633891
2020-12-02,133.99285049438475,,1350726000,560336189.7025232
2020-12-03,134.24730056762695,,1330774000,548461565.0165719
2020-12-04,134.4893505859375,,1350998400,568272578.5761054
2020-12-07,134.6359506225586,,1373322800,566559124.3109026
2020-12-08,134.69895050048828,,1346130800,551109567.1980717
2020-12-09,134.63995025634765,,1306000800,520171039.61763984
2020-12-10,134.5283004760742,,1326777200,522658632.0790841
2020-12-11,134.40805053710938,,1347703600,542151210.7663643
2020-12-14,134.4573504638672,,1374719200,555279234.0567689
2020-12-15,134.4009503173828,,1394020800,560169884.871578
2020-12-16,134.3021502685547,,1371709200,543814730.1313341
2020-12-17,134.17760040283204,,1394847600,558146882.7743002
2020-12-18,134.06425048828126,,1360641200,565151753.3086542
2020-12-21,133.97815032958985,,1390874400,589713835.7342936
2020-12-22,133.7886004638672,,1372316400,600540760.3427911
2020-12-23,133.54080047607422,,1354402000,583190276.1367859
2020-12-24,133.32050048828125,,1344613600,578959192.1335096
2020-12-28,133.1065005493164,,1323357200,577130114.120186
2020-12-29,132.93285034179686,,1340394400,575039656.6690769
2020-12-30,132.86245056152345,,1362934000,587909369.1182343
2020-12-31,132.7443505859375,,1343691600,591497078.6116556
2021-01-04,132.66210052490234,,1399755600,559971167.572686
2021-01-05,132.67085052490233,,1432031600,585230705.8972592
2021-01-06,132.47570053100586,,1373989200,532208598.1344907
2021-01-07,132.51625045776368,,1420137200,572015754.4251615
2021-01-08,132.49225051879884,,1390884400,579000896.5369087
2021-01-11,132.69115051269532,,1442718800,572028950.1662567
2021-01-12,132.78330047607423,,1413571200,562775833.4631975
2021-01-13,132.98285064697265,,1434574000,567457751.5843271
2021-01-14,133.10675064086914,,1406262000,541813319.8475386
2021-01-15,133.07475051879882,,1378484000,515317163.90869534
2021-01-19,132.9209504699707,,1401102800,525495623.90869534
2021-01-20,132.76210037231445,,1426960000,542393695.7564948
2021-01-21,132.62320053100586,,1460738000,564244807.7382067
2021-01-22,132.6395506286621,,1436056000,559181779.3545796
2021-01-25,132.81620071411132,,1410944800,569425596.611966
2021-01-26,132.81965072631837,,1394546800,559115022.5599704
2021-01-27,132.71185073852538,,1357419600,542961826.3625028
2021-01-28,132.66265060424806,,1380251200,531026738.04243326
2021-01-29,132.55755081176758,,1353096000,513912405.77598387
2021-02-01,132.52050064086913,,1374816400,531648665.5314291
2021-02-02,132.54610061645508,,1396860400,551345982.9296108
2021-02-03,132.5641505432129,,1372319600,528459939.06526214
2021-02-04,132.67945053100587,,1392453600,547484559.2064202
2021-02-05,132.76965072631836,,1375538400,538563243.8129174
2021-02-08,133.06585067749023,,1419000800,577950061.0303179
2021-02-09,133.27155075073242,,1390244800,555690588.2931246
2021-02-10,133.57215072631837,,1438780000,579979742.2032671
2021-02-11,133.94200088500978,,1483862800,619480035.8361074
2021-02-12,134.25625106811523,,1446387200,609044953.7422936
2021-02-16,134.61340103149413,,1478583200,634801753.7422936
2021-02-17,134.91540084838869,,1451107600,622937934.6349075
2021-02-18,135.1695506286621,,1427720800,639385066.8750986
2021-02-19,135.43350051879884,,1454893200,625336039.798821
2021-02-22,135.63465042114257,,1422304800,595227260.851691
2021-02-23,135.87690048217775,,1383126800,625478631.504482
