Date,50_day_MA,200_day_MA,OBV,Acc/Dist
2021-03-10,,,97069300,24860021.475278743
2021-03-11,,,156698600,24002661.58623904
2021-03-12,,,136983900,10330354.008364689
2021-03-15,,,156533700,20318040.791240454
2021-03-16,,,186808100,38030448.29463965
2021-03-17,,,176754000,37051317.176126674
2021-03-18,,,167126600,28367780.203620926
2021-03-19,,,173903100,28690472.811357338
2021-03-22,,,169664600,25773808.836102463
2021-03-23,,,165208600,22118163.75826232
2021-03-24,,,159748600,17551448.997098118
2021-03-25,,,166031600,21090780.82912317
2021-03-26,,,170562800,25297826.368419297
2021-03-29,,,166211200,22700352.319951832
2021-03-30,,,162816700,21181937.43853358
2021-03-31,,,158721800,17899771.50840362
2021-04-01,,,162784900,16940569.72085715
2021-04-05,,,171394400,17140802.729497876
2021-04-06,,,175309900,15915700.441611784
2021-04-07,,,170885100,13798326.541144893
2021-04-08,,,175129100,15704137.79866992
2021-04-09,,,184374600,12738240.706292782
2021-04-12,,,192378700,14910571.588259472
2021-04-13,,,210272400,27888021.250755146
2021-04-14,,,195486600,18994751.67261321
2021-04-15,,,204327700,24722196.479696836
2021-04-16,,,199171500,21341470.945144117
2021-04-19,,,192533800,15805222.316824306
2021-04-20,,,184140200,14746559.019925384
2021-04-21,,,188665200,18797421.975820873
2021-04-22,,,185293000,16503750.199035043
2021-04-23,,,188022300,18059161.096486717
2021-04-26,,,192215000,20396529.48729702
2021-04-27,,,189014400,21449350.08515025
2021-04-28,,,192098700,22114957.856231373
2021-04-29,,,196473600,23775041.141287826
2021-04-30,,,194053400,22360639.47817577
2021-05-03,,,190841200,19820928.849863395
2021-05-04,,,185461300,19676832.47495635
2021-05-05,,,180876500,15361721.006349076
2021-05-06,,,174872300,14016918.238586053
2021-05-07,,,179680500,16378840.198799541
2021-05-10,,,171556400,8254740.198799541
2021-05-11,,,202551400,38600799.213338934
2021-05-12,,,181727500,55438038.87932398
2021-05-13,,,163958000,47762723.57659478
2021-05-14,,,171634300,46330292.29480183
2021-05-17,,,188431900,62906136.63494707
2021-05-18,,,176743700,59806329.79112717
2021-05-19,71.58460021972657,,187630000,66843951.28946964
2021-05-20,71.72120025634766,,198581000,74537721.76802811
2021-05-21,71.89320022583007,,230253600,87442985.17838298
2021-05-24,72.2838003540039,,253371300,107905736.69218749
2021-05-25,72.62720031738282,,267685900,117303575.45018798
2021-05-26,72.88140029907227,,285229400,105149433.51049072
2021-05-27,73.29500030517578,,305079700,124879554.9941187
2021-05-28,73.82440017700195,,291617100,116617453.43710382
2021-06-01,74.35220016479492,,305249400,124229538.05002132
2021-06-02,74.94940017700195,,321978300,126431825.132976
2021-06-03,75.51940017700196,,311070800,116392407.77453873
2021-06-04,76.22080017089844,,325742800,107483835.69846171
2021-06-07,76.73260025024415,,310528200,92904018.56643835
2021-06-08,77.14140029907226,,296124300,92107577.1490439
2021-06-09,77.62160034179688,,283385000,81229072.1422146
2021-06-10,78.13820037841796,,271115800,89457698.53975338
2021-06-11,78.69800033569337,,279789600,88786798.90225549
2021-06-14,79.1072004699707,,268130100,78069908.03741238
2021-06-15,79.48800048828124,,278961900,83596349.5159557
2021-06-16,79.71340042114258,,235039100,76074384.72222348
2021-06-17,79.99840042114258,,247346800,69331432.0640785
2021-06-18,80.20600036621094,,236216200,65308307.913595565
2021-06-21,80.41960037231445,,247505600,72599388.46659917
2021-06-22,80.56840042114258,,237367000,74168470.12108757
2021-06-23,80.62460037231445,,245382500,79442451.37929747
2021-06-24,80.86440032958984,,254218700,86812734.29295515
2021-06-25,81.01120025634765,,246624200,86793106.08373246
2021-06-28,81.35500030517578,,260670700,95714538.60896873
2021-06-29,81.7670002746582,,252864200,100362852.55361098
2021-06-30,82.18180038452148,,248497300,96200422.04239015
2021-07-01,82.46300033569337,,238225000,91658441.06733643
2021-07-02,82.79000030517578,,244032700,92325700.86397235
2021-07-06,83.09400039672852,,250334100,92123628.06265022
2021-07-07,83.32400039672852,,244181100,88466437.9259895
2021-07-08,83.57460037231445,,250910600,92350933.83906269
2021-07-09,83.7870004272461,,246973900,92531513.62711954
2021-07-12,83.995400390625,,253735900,90322416.72781226
2021-07-13,84.18480026245118,,244539700,85975101.69441627
2021-07-14,84.34660018920898,,234073000,75913297.01347855
2021-07-15,84.49980010986329,,223570600,72963690.35545851
2021-07-16,84.71920013427734,,228212100,70818086.72898167
2021-07-19,85.00280014038086,,233619300,74686304.35198721
2021-07-20,85.24200012207031,,238435400,76446293.6239541
2021-07-21,85.5602001953125,,242512700,77948467.74894498
2021-07-22,85.64780014038087,,246875200,81678714.84737892
2021-07-23,85.77380020141601,,243723900,81739659.54566784
2021-07-26,85.93280014038086,,237199800,77149754.8779145
2021-07-27,86.03760025024414,,224876000,81322701.04480752
2021-07-28,86.08160018920898,,229853600,86071821.69798474
2021-07-29,86.11880020141602,,225912400,82515113.51250975
2021-07-30,86.15400024414062,,229174800,83615227.8326957
2021-08-02,86.19360015869141,,233146100,85690190.61866605
2021-08-03,86.0934001159668,,223459800,95328528.40568891
2021-08-04,85.9418000793457,,232768700,103668476.00150664
2021-08-05,85.7668000793457,,228414200,106275969.35225004
2021-08-06,85.53100006103516,,223732600,102118097.28720652
2021-08-09,85.2918000793457,,239836000,113431383.32374829
2021-08-10,85.11800018310547,,231563100,117905854.30948399
2021-08-11,84.87400024414063,,225031600,116458341.3073461
2021-08-12,84.52980026245118,,221039200,115751121.73424342
2021-08-13,84.27900024414062,,225258000,119280168.56316164
2021-08-16,83.87900024414063,,212259100,108494942.85589454
2021-08-17,83.58380020141601,,190486800,114850087.71074533
2021-08-18,83.42480010986328,,203523100,123347813.50176497
2021-08-19,83.23100006103516,,195961300,124346536.87447363
2021-08-20,83.06639999389648,,201658100,124097403.16701084
2021-08-23,82.91119995117188,,211601900,133534803.099194
2021-08-24,82.94039993286133,,224418800,142712364.253336
2021-08-25,82.95119979858399,,231863000,147412775.79839328
2021-08-26,83.01559982299804,,226122100,141820662.0569063
2021-08-27,83.06399978637695,,220886500,139427915.7333439
2021-08-30,83.07859985351563,,211143700,137276387.05669332
2021-08-31,83.06939987182618,,215903100,136231638.55512556
2021-09-01,83.1095997619629,,220503600,139000254.32864636
2021-09-02,83.10439971923829,,224232100,137479421.88038945
2021-09-03,83.01499984741211,,218782400,137745267.08829054
2021-09-07,82.97439987182617,,224694000,142324678.67044747
