Date,50_day_MA,200_day_MA,OBV,Acc/Dist
2021-06-30,,,20587300,-9968992.884987218
2021-07-01,,,14293900,-16000707.13664455
2021-07-02,,,18928900,-12826871.792626776
2021-07-06,,,26064700,-8765388.384670647
2021-07-07,,,33157500,-10217318.11812653
2021-07-08,,,29435300,-7768330.888642181
2021-07-09,,,27939600,-8429807.886550007
2021-07-12,,,29384600,-7602594.282723145
2021-07-13,,,27916600,-7741087.29802101
2021-07-14,,,25355000,-9297944.443544738
2021-07-15,,,23669000,-10528267.280165812
2021-07-16,,,25277500,-11406335.323686538
2021-07-19,,,27034900,-10249380.195659716
2021-07-20,,,28023300,-9499435.60710105
2021-07-21,,,27091700,-10059746.554444447
2021-07-22,,,28103300,-9701698.32949006
2021-07-23,,,27350300,-10214889.365678666
2021-07-26,,,29143600,-9608135.234834542
2021-07-27,,,28139900,-10056215.51058261
2021-07-28,,,29428200,-9719549.909860607
2021-07-29,,,30495100,-9871373.213466655
2021-07-30,,,28134000,-11725012.11238573
2021-08-02,,,29308800,-11421346.276974257
2021-08-03,,,28037500,-12095792.116180371
2021-08-04,,,26805200,-12873251.062799122
2021-08-05,,,28226200,-11644929.714077692
2021-08-06,,,27304300,-12205617.91444968
2021-08-09,,,26573700,-12347858.284104249
2021-08-10,,,25533100,-13109723.514697416
2021-08-11,,,24161400,-14406262.207518023
2021-08-12,,,25091200,-13804924.907867357
2021-08-13,,,25671700,-13556138.887192277
2021-08-16,,,24784500,-13271199.40838614
2021-08-17,,,23465500,-13687416.649461443
2021-08-18,,,24074300,-13596335.974529589
2021-08-19,,,24999600,-13238154.839637015
2021-08-20,,,25706500,-12575634.027465563
2021-08-23,,,27715300,-12969023.515270848
2021-08-24,,,29921400,-13074074.681850128
2021-08-25,,,31262400,-12187437.805126783
2021-08-26,,,33297400,-12842022.637488773
2021-08-27,,,35003300,-12164334.47997633
2021-08-30,,,36436200,-12430113.429951565
2021-08-31,,,35015900,-13686218.998100309
2021-09-01,,,36822100,-12845110.190955
2021-09-02,,,35401600,-13981125.474700116
2021-09-03,,,36774200,-12827817.89476055
2021-09-07,,,39732400,-13517323.753335593
2021-09-08,,,35473900,-13252209.673093352
2021-09-09,52.487800445556644,,29831400,-14757219.625925355
2021-09-10,52.91280044555664,,25933600,-16390519.912441518
2021-09-13,53.33200042724609,,22133500,-17006753.9993921
2021-09-14,53.68220039367676,,24103200,-16762327.439389722
2021-09-15,54.042400436401365,,26640800,-14257471.390453346
2021-09-16,54.46760040283203,,30046400,-10863225.815502174
2021-09-17,54.85260040283203,,22728500,-11792688.894718163
2021-09-20,55.145400390625,,19273900,-12459886.926466897
2021-09-21,55.417000427246094,,22380800,-11240951.635936903
2021-09-22,55.724000473022464,,24364300,-10781196.462721664
2021-09-23,56.021400451660156,,21289300,-12889767.617702646
2021-09-24,56.3746004486084,,23175300,-13067081.75474156
2021-09-27,56.63360038757324,,19901400,-15245715.570992447
2021-09-28,56.806600418090824,,8804800,-13497357.4075419
2021-09-29,56.94520042419433,,3648900,-18653257.4075419
2021-09-30,57.0746004486084,,465400,-20666915.76804921
2021-10-01,57.224000473022464,,3456900,-18711840.351711698
2021-10-04,57.32020042419433,,617000,-20638814.984464407
2021-10-05,57.357200393676756,,-1104500,-21931432.898233753
2021-10-06,57.47500045776367,,1349800,-20117566.827717658
2021-10-07,57.614000396728514,,3825600,-20001679.70231884
2021-10-08,57.695800399780275,,2515500,-21311779.70231884
2021-10-11,57.757400360107425,,1315900,-22304998.52916832
2021-10-12,57.81680030822754,,3100100,-22027890.600111257
